Name,CreekID,Total_m,WBID,CLASS,WBIDLen_m
Bayou Creek,PC09,1895.459769,1709D,3F,1895.459769
Booker Creek,PC12,5004.555378,1709B,2,45.60745363
Booker Creek,PC12,5004.555378,1696,3F,4958.947925
,PC13,1638.339777,1661B,3M,1638.339777
Turners Creek,PC14,7249.706505,1661I,3F,482.5515477
Turners Creek,PC14,7249.706505,1661A,2,15.28726327
Turners Creek,PC14,7249.706505,1661E,3M,5026.672115
Turners Creek,PC14,7249.706505,1661H,3F,1725.195579
Tinney Creek,PC15,4454.356087,1661D,3M,4299.380545
Tinney Creek,PC15,4454.356087,1661E,3M,154.9755416
Cross Bayou,PC16,4952.366196,1625,3M,4952.366196
Long Branch,PC17,5174.205376,1627,3F,3891.503479
Long Branch,PC17,5174.205376,1627B,3M,1282.701896
Allen Creek,PC18,10510.66839,1604B1,3F,4203.688778
Allen Creek,PC18,10510.66839,1558H,2,0.901260676
Allen Creek,PC18,10510.66839,1604B2,3F,2100.752946
Allen Creek,PC18,10510.66839,1604,3M,4205.325407
Mullet Creek,PC19,3020.496886,1575A,3F,2308.610969
Mullet Creek,PC19,3020.496886,1575,3M,711.8859177
Bishop Creek,PC20,4420.262461,1569A,3F,3396.7281
Bishop Creek,PC20,4420.262461,1569,3M,1023.534362
Mobbly Bayou,PC21,1060.281932,1558I,2,6.11915909
Mobbly Bayou,PC21,1060.281932,1546,3M,1054.162772
,PC22,873.7287263,1528B,3M,873.7287263
,PC23,1564.556168,1694B,3M,0.122667168
,PC23,1564.556168,1668F,3F,1564.433501
Moccasin Creek,PC24,2210.587195,1530,3M,2210.587195
Grassy Creek,PC25,1472.067343,1558H,2,1472.067343
Briar Creek,PC26,2635.731707,1541C,3F,2171.746471
Briar Creek,PC26,2635.731707,1541A,3M,463.9852363
Whitaker Bayou,SC01,2520.86094,1936,3M,1694.216377
Whitaker Bayou,SC01,2520.86094,1936A,3F,826.6445627
Hudson Bayou,SC02,3892.811718,1953,3M,2094.153951
Hudson Bayou,SC02,3892.811718,1953A,3F,1788.991631
Hudson Bayou,SC02,3892.811718,1968C,2,9.66613619
Phillippi Creek,SC03,17088.52605,1937,3F,5457.730164
Phillippi Creek,SC03,17088.52605,1947,3M,11630.79589
Mathaney Creek,SC04,940.3395536,1975B,3F,39.5678143
Mathaney Creek,SC04,940.3395536,1975,3F,900.7717393
Clower Creek,SC06,1393.293269,1975A,3F,1393.293269
Catfish/North Creek,SC07,6090.317573,1984,3F,2497.975835
Catfish/North Creek,SC07,6090.317573,1984AB,3F,1186.900916
Catfish/North Creek,SC07,6090.317573,1984AA,3F,826.3822625
Catfish/North Creek,SC07,6090.317573,1984A,3M,1579.05856
South Creek,SC08,8749.20744,1985,3F,131.5056248
South Creek,SC08,8749.20744,1982A,3M,1991.038915
